,CD_OSCAR,DC_NOME,FL_CAPITAL,DT_FIM_OPERACAO,CD_SITUACAO,TP_ESTACAO,VL_LATITUDE,CD_WSI,CD_DISTRITO,VL_ALTITUDE,SG_ESTADO,SG_ENTIDADE,CD_ESTACAO,VL_LONGITUDE,DT_INICIO_OPERACAO
387,0-2000-0-86756,PIRES DO RIO,N,,Operante,Automatica,-17.30416666,0-76-0-5217401000000255, 10,757.27,GO,INMET,A033,-48.28416666,2007-10-11T21:00:00.000-03:00
388,0-2000-0-81794,PIRIPIRI,N,,Operante,Automatica,-4.2761111,0-76-0-2208403000000247, 03,157.89,PI,INMET,A335,-41.79444444,2007-08-30T21:00:00.000-03:00
389,0-2000-0-86603,PIUM,N,,Operante,Automatica,-10.47694443,0-76-0-1717503000000510, 10,161,TO,INMET,A051,-49.62944443,2016-04-05T21:00:00.000-03:00
390,0-2000-0-81737,PLACAS,N,,Operante,Automatica,-3.86416666,0-76-0-1505650000000287, 02,100.45,PA,INMET,A211,-54.21638888,2008-02-13T21:00:00.000-03:00
391,0-2000-0-86926,PLANALTO,,,Operante,Automatica,-25.72194443,0-76-0-4119806000000265, 08,399.1,PR,INMET,A855,-53.74805555,2007-11-06T21:00:00.000-03:00
392,0-2000-0-86614,POCO VERDE,,,Pane,Automatica,-10.73805555,0-76-0-2805505000000327, 04,367.01,SE,INMET,A419,-38.10833333,2008-04-02T21:00:00.000-03:00
393,0-2000-0-86788,POMPEU,N,,Operante,Automatica,-19.23249999,0-76-0-3152006000000504, 05,705,MG,INMET,A560,-44.96416666,2015-08-20T21:00:00.000-03:00
394,0-2000-0-86857,PONTA PORA,N,,Operante,Automatica,-22.5525,0-76-0-5006606000000012, 07,668,MS,INMET,A703,-55.71638888,2001-09-06T21:00:00.000-03:00
395,0-2000-0-86702,PONTES E LACERDA,,,Operante,Automatica,-15.23444444,0-76-0-5106752000000285, 09,272.53,MT,INMET,A937,-59.3461111,2008-01-29T21:00:00.000-03:00
396,0-2000-0-86669,PORANGATU,N,,Operante,Automatica,-13.30944444,0-76-0-5218003000000581, 10,365,GO,INMET,A005,-49.11749999,2001-06-03T21:00:00.000-03:00
397,0-2000-0-86988,PORTO ALEGRE - JARDIM BOTANICO,N,,Operante,Automatica,-30.05361111,0-76-0-4314902000000005, 08,41.18,RS,INMET,A801,-51.17472221,2000-09-21T21:00:00.000-03:00
398,,PORTO ALEGRE- BELEM NOVO,N,,Operante,Automatica,-30.1861111,, 08,3.3,RS,INMET,B807,-51.17805554,2022-12-07T21:00:00.000-03:00
399,0-2000-0-81671,PORTO DE MOZ,N,,Operante,Automatica,-1.82194443,0-76-0-1505908000000599, 02,19,PA,INMET,A245,-52.11166666,2022-04-06T21:00:00.000-03:00
400,0-2000-0-86704,PORTO ESTRELA,,,Operante,Automatica,-15.32472221,0-76-0-5106851000000371, 09,147.75,MT,INMET,A935,-57.22583332,2008-05-29T21:00:00.000-03:00
401,0-2000-0-81637,PORTO GRANDE,,,Operante,Automatica,0.69416666,0-76-0-1600535000000431, 02,84.8,AP,INMET,A244,-51.40388888,2008-09-16T21:00:00.000-03:00
402,0-2000-0-86833,PORTO MURTINHO,N,,Operante,Automatica,-21.70583333,0-76-0-5006903000000122, 07,78.56,MS,INMET,A723,-57.88666666,2006-10-23T21:00:00.000-03:00
403,0-2000-0-86745,PORTO SEGURO,N,,Pane,Automatica,-16.38888888,0-76-0-2925303000000396, 04,86.36,BA,INMET,A427,-39.18249999,2008-07-09T21:00:00.000-03:00
404,0-2000-0-81932,PORTO VELHO,N,,Operante,Automatica,-8.7936111,0-76-0-1100205000000227, 09,86.7,RO,INMET,A925,-63.84583333,2007-07-10T21:00:00.000-03:00
405,0-2000-0-81921,PORTO WALTER,,,Pane,Automatica,-8.26722221,0-76-0-1200393000000457, 01,205.35,AC,INMET,A136,-72.74777777,2009-10-28T21:00:00.000-03:00
406,0-2000-0-86692,POSSE,N,,Operante,Automatica,-14.08916666,0-76-0-5218300000000181, 10,830,GO,INMET,A017,-46.36638888,2007-04-17T21:00:00.000-03:00
407,0-2000-0-86842,PRADOPOLIS,,,Operante,Automatica,-21.33833333,0-76-0-3518859000000346, 07,540.41,SP,INMET,A747,-48.11388888,2008-04-21T21:00:00.000-03:00
408,0-2000-0-81717,PREGUICAS,N,,Operante,Automatica,-2.59222221,0-76-0-2101707000000437, 02,4.62,MA,INMET,A218,-42.7075,2008-11-21T21:00:00.000-03:00
